Subgroup,N,FP,FN,TP,TN,FP_Rate,FN_Rate,Sensitivity,Specificity
Low (0-0.3),354,16,13,1,324,0.047058823529411764,0.9285714285714286,0.07142857142857142,0.9529411764705882
Medium (0.3-0.6),278,39,14,15,210,0.1566265060240964,0.4827586206896552,0.5172413793103449,0.8433734939759037
High (0.6-0.85),379,89,15,53,222,0.2861736334405145,0.22058823529411764,0.7794117647058824,0.7138263665594855
Very High (0.85-1.0),386,147,18,97,124,0.5424354243542435,0.1565217391304348,0.8434782608695652,0.4575645756457565
