model,task,auroc_gain_vs_temporal,auprc_gain_vs_temporal,f1_gain_vs_temporal
Multimodal-BestSingle,sepsis,0.046442920806213484,0.05463114631116839,0.009728921153993597
Multimodal-BestSingle,mortality,0.04722535009030937,0.07016488208870292,0.08374655647382923
Multimodal-Ensemble,sepsis,0.046442920806213484,0.05463114631116839,0.009728921153993597
Multimodal-Ensemble,mortality,0.04722535009030937,0.07016488208870292,0.08374655647382923
Multimodal-Top2,sepsis,0.046442920806213484,0.05463114631116839,0.009728921153993597
Multimodal-Top2,mortality,0.04722535009030937,0.07016488208870292,0.08374655647382923
Text-Only,sepsis,-0.001323068774749192,0.01147191387454094,0.0025751344471989235
Text-Only,mortality,-0.05900145855217909,-0.13003806407925128,-0.033054734044833056
