model,task,threshold,auroc,auprc,f1,accuracy,precision,recall,tn,fp,fn,tp,mean_auroc
Temporal-Only,sepsis,0.45,0.7312711804794081,0.75415246195753,0.7377423033067275,0.670722977809592,0.6548582995951417,0.8446475195822454,290,341,119,647,0.7490562729630401
Temporal-Only,mortality,0.37,0.7668413654466721,0.4232185720075811,0.3840653728294178,0.5683607730851825,0.249667994687915,0.831858407079646,606,565,38,188,0.7490562729630401
Multimodal,sepsis,0.45,0.7991294021260132,0.8251828268510155,0.7675675675675676,0.7229778095919828,0.710789766407119,0.8342036553524804,371,260,127,639,0.8089889886018321
Multimodal,mortality,0.37,0.818848575077651,0.49908717057414165,0.486090775988287,0.7487473156764496,0.36323851203501095,0.7345132743362832,880,291,60,166,0.8089889886018321
