model,sepsis_threshold_from_val,sepsis_val_best_f1,mortality_threshold_from_val,mortality_val_best_f1
Temporal-Only,0.245,0.7525823905558289,0.735,0.47587354409317806
Text-Only,0.4599999999999999,0.7554842161583735,0.26999999999999996,0.43410852713178294
Multimodal-BestSingle,0.39499999999999996,0.7733333333333333,0.35999999999999993,0.5294964028776978
Multimodal-Top2,0.39499999999999996,0.7733333333333333,0.35999999999999993,0.5294964028776978
Multimodal-Ensemble,0.39499999999999996,0.7733333333333333,0.35999999999999993,0.5294964028776978
