fold,full_sepsis_auroc,full_mort_auroc,full_avg_auroc,temporal_sepsis_auroc,temporal_mort_auroc,temporal_avg_auroc,avg_gain_full_minus_temporal
1,0.7576522305437968,0.76970488429842,0.7636785574211085,0.7446244437208294,0.7498590211616658,0.7472417324412476,0.016436824979860876
2,0.7591759181346868,0.8016132396912593,0.780394578912973,0.7417768247333134,0.7838144575680213,0.7627956411506673,0.0175989377623057
3,0.7428978583643224,0.8120588688549853,0.7774783636096538,0.7316956651556689,0.7890429958391124,0.7603693304973906,0.017109033112263194
4,0.7304443419016856,0.7993822970404562,0.7649133194710709,0.7217203658966912,0.7823687987277452,0.7520445823122182,0.012868737158852728
5,0.758616758502755,0.7995614175156218,0.7790890880091884,0.74961591704894,0.7960378543522926,0.7728268857006163,0.006262202308572107
