task,auroc_Multimodal,auroc_Temporal-Only,auprc_Multimodal,auprc_Temporal-Only,f1_Multimodal,f1_Temporal-Only,accuracy_Multimodal,accuracy_Temporal-Only
mortality,0.818848575077651,0.7668413654466721,0.49908717057414165,0.4232185720075811,0.486090775988287,0.3840653728294178,0.7487473156764496,0.5683607730851825
sepsis,0.7991294021260132,0.7312711804794081,0.8251828268510155,0.75415246195753,0.7675675675675676,0.7377423033067275,0.7229778095919828,0.670722977809592
