Subgroup,N,FP,FN,TP,TN,FP_Rate,FN_Rate,Sensitivity,Specificity
High (0.6-0.85),379,139,0,240,0,1.0,0.0,1.0,0.0
Low (0-0.3),354,0,64,0,290,0.0,1.0,0.0,1.0
Medium (0.3-0.6),278,64,63,70,81,0.4413793103448276,0.47368421052631576,0.5263157894736842,0.5586206896551724
Very High (0.85-1.0),386,57,0,329,0,1.0,0.0,1.0,0.0
