task,auroc_Multimodal-BestSingle,auroc_Multimodal-Ensemble,auroc_Multimodal-Top2,auroc_Temporal-Only,auroc_Text-Only,auprc_Multimodal-BestSingle,auprc_Multimodal-Ensemble,auprc_Multimodal-Top2,auprc_Temporal-Only,auprc_Text-Only,f1_Multimodal-BestSingle,f1_Multimodal-Ensemble,f1_Multimodal-Top2,f1_Temporal-Only,f1_Text-Only,accuracy_Multimodal-BestSingle,accuracy_Multimodal-Ensemble,accuracy_Multimodal-Top2,accuracy_Temporal-Only,accuracy_Text-Only,precision_Multimodal-BestSingle,precision_Multimodal-Ensemble,precision_Multimodal-Top2,precision_Temporal-Only,precision_Text-Only,recall_Multimodal-BestSingle,recall_Multimodal-Ensemble,recall_Multimodal-Top2,recall_Temporal-Only,recall_Text-Only
mortality,0.8161392955117402,0.8161392955117402,0.8161392955117402,0.7689139454214309,0.7099124868692518,0.49584597140803777,0.49584597140803777,0.49584597140803777,0.42568108931933485,0.29564302524008357,0.49586776859504134,0.49586776859504134,0.49586776859504134,0.4121212121212121,0.37906647807637905,0.7816750178954903,0.7816750178954903,0.7816750178954903,0.7916964924838941,0.6857551896921976,0.39577836411609496,0.39577836411609496,0.39577836411609496,0.379182156133829,0.2785862785862786,0.6637168141592921,0.6637168141592921,0.6637168141592921,0.45132743362831856,0.5929203539823009
sepsis,0.7863290479283992,0.7863290479283992,0.7863290479283992,0.7398861271221857,0.7385630583474365,0.8105376193901019,0.8105376193901019,0.8105376193901019,0.7559064730789335,0.7673783869534745,0.75453446191052,0.75453446191052,0.75453446191052,0.7448055407565264,0.7473806752037253,0.7093772369362921,0.7093772369362921,0.7093772369362921,0.6571224051539012,0.6893342877594846,0.7027027027027027,0.7027027027027027,0.7027027027027027,0.6291629162916291,0.6743697478991597,0.814621409921671,0.814621409921671,0.814621409921671,0.912532637075718,0.8381201044386423
